SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.2600, 13, 0.00786508, -0.99409318, 0.14962576, -1.51847708, -0.91408879, 0.71457589, 0.88595080, -39.71466827, 11.70520020, 23.38040352, 7.20309782, -65.54869843, 0.81485242, -0.20332782, 0.05774593, 0.53975803, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2800, 14, -0.03095653, -1.00479519, 0.06203382, -0.14383909, -0.07064651, 0.30023313, -34.63695526, -65.89642334, 8.33524990, 90.74738312, -1.16988325, -149.38645935, -0.19244434, 0.18095382, -0.68831390, -0.67560703, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.2800, 14, 0.00627888, -0.99305272, 0.15143777, -1.59455490, -1.01236010, 0.71194422, 0.67806643, -39.22407913, 11.40746975, 23.34813309, 7.19301367, -65.57436371, 0.81480294, -0.20303982, 0.05771234, 0.53994477, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.3000, 15, 0.00668601, -0.99472344, 0.14942043, -1.40574181, -0.89410901, 0.67044175, 0.11380847, -39.40481949, 10.71276379, 23.35074806, 7.18155861, -65.60470581, 0.81467140, -0.20299126, 0.05786123, 0.54014558, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3000, 15, -0.02951102, -1.00503504, 0.06224376, -0.04139008, -0.04824914, 0.12844682, -34.72613144, -66.53025055, 7.45998669, 90.74647522, -1.17233813, -149.38757324, -0.19245388, 0.18093106, -0.68831420, -0.67561018, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3200, 16, -0.02938900, -1.00528133, 0.06046415, -0.15746765, -0.12101000, 0.08669622, -34.63695526, -66.12690735, 8.13102055, 90.70193481, -1.27726185, -149.36038208, -0.19331089, 0.18039699, -0.68817186, -0.67565334, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.3200, 16, 0.00691588, -0.99493611, 0.15152079, -1.50660205, -1.05124855, 0.62629980, 0.38108814, -39.86959076, 12.03601265, 23.31965065, 7.17264700, -65.63074493, 0.81461620, -0.20271666, 0.05782513, 0.54033577, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.3400, 17, 0.00517093, -0.99461120, 0.15051942, -1.45777428, -0.81586766, 0.72215396, 0.38108814, -40.43764496, 11.27514553, 23.29006958, 7.16165543, -65.65184784, 0.81458437, -0.20244594, 0.05780240, 0.54048765, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3400, 17, -0.03006616, -1.00560200, 0.06153484, -0.15850906, -0.01388223, 0.15421627, -34.45862579, -66.38619995, 8.27689743, 90.69880676, -1.28072143, -149.36109924, -0.19333223, 0.18036687, -0.68815988, -0.67566741, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3600, 18, -0.03279889, -1.00527906, 0.06090673, -0.14868350, 0.01530888, 0.17488344, -34.10195160, -66.12690735, 8.30607796, 90.69570160, -1.28398454, -149.36105347, -0.19335684, 0.18034257, -0.68814665, -0.67568034, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.3600, 18, 0.00276258, -0.99486732, 0.15029761, -1.49357390, -0.80616951, 0.72226357, 0.44048342, -39.22407913, 11.57287598, 23.29545212, 7.14406967, -65.67816925, 0.81447530, -0.20239118, 0.05800138, 0.54065114, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
